Name_of_TF,N_of_Windings,Parameter,Value,Unit,AssociateSG
,,Winding_X,0.1189999,pu,
,,Winding_impedance_on_winding_1,.5,,
TR_TARA_N3,2,S,19,MVA,TGTAR
,,f,50,Hz,
,,WV1,13.8,kV_RMSLL,
,,WV2,6.9,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00657895,pu,
,,Winding_X,0.07972902,pu,
,,Winding_impedance_on_winding_1,.5,,
TR_TARA_N2,3,f,50,Hz,TGTAR
,,VW1,220,kV_RMSLL,
,,VW2,11.5,kV_RMSLL,
,,VW3,6.9,kV_RMSLL,
,,SW1,28,MVA,
,,SW2,28,MVA,
,,SW3,19,MVA,
,,R12,0.0075,pu,
,,R13,0.001,pu,
,,R23,4.8e-04,pu,
,,X12,0.1197654,pu,
,,X13,0.1221388,pu,
,,X23,0.03806786,pu,
,,Tap_ratio,1,,
TR_SISIDRO_N1,2,S,162.412,MVA,San_Isidro_U1_TV
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00258306,pu,
,,Winding_X,0.1248733,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_QUINT_N1,2,S,171,MVA,Quintero_TG1A
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00289282,pu,
,,Winding_X,0.1446411,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_QUINT_N2,2,S,171,MVA,Quintero_TG1B
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00289282,pu,
,,Winding_X,0.1446411,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_LGUINDOS_N1,2,S,165,MVA,LosGuindos_U1
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00309023,pu,
,,Winding_X,0.1249618,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_LGUINDOS_N2,2,S,165,MVA,LosGuindos_U2
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00309023,pu,
,,Winding_X,0.1249618,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_SMARI_N1,2,S,490,MVA,StaMaria_U1
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,18,kV_RMSLL,
,,Tap_ratio,1.025,,
,,Winding_R,0.00199982,pu,
,,Winding_X,0.1499867,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_TORO_N1,2,S,121,MVA,El_Toro_U1
,,f,50,Hz,
,,WV1,227.125,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00346694,pu,
,,Winding_X,0.1175489,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_TORO_N3,2,S,121,MVA,El_Toro_U3
,,f,50,Hz,
,,WV1,227.125,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00346694,pu,
,,Winding_X,0.1175489,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_TORO_N2,2,S,121,MVA,El_Toro_U2
,,f,50,Hz,
,,WV1,227.125,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00346694,pu,
,,Winding_X,0.1175489,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_TORO_N4,2,S,121,MVA,El_Toro_U4
