Name_LoadLF,LibType,Status,P_loadLF,Unit,Q_loadLF,Unit,p_mw,q_mw,Np,Nq,connectionType
TR_DUQUE_N1,PQ load Yg with load-flow (LF),1,7.08,MW,0.1866666667,MVAR,21.240000000000002,0.5600000001000001,0,0,Yg
L_LLANQUI,PQ load Yg with load-flow (LF),1,10.666667,MW,2.6,MVAR,32.000001,7.800000000000001,0,0,Yg
L_PTOMONTT,PQ load Yg with load-flow (LF),1,8,MW,0.133333333334,MVAR,24,0.400000000002,0,0,Yg
MELI_220_66,PQ load Yg with load-flow (LF),1,12.666666666667,MW,4.0333333333334,MVAR,38.000000000001,12.1000000000002,0,0,Yg
TR_TUNICHE_N1,PQ load Yg with load-flow (LF),1,19.23,MW,-0.2,MVAR,57.69,-0.6000000000000001,0,0,Yg
TR_MATAQ_220,PQ load Yg with load-flow (LF),1,5.656666666,MW,-0.67666666,MVAR,16.969999998,-2.02999998,0,0,Yg
TR_DICHATO,PQ load Yg with load-flow (LF),1,12.27667,MW,2.16,MVAR,36.83001,6.48,0,0,Yg
TR_NVACAUQUE,PQ load Yg with load-flow (LF),1,12.27667,MW,6.2533333333,MVAR,36.83001,18.7599999999,0,0,Yg
TR_NIRIVI,PQ load Yg with load-flow (LF),1,9.91,MW,4.18,MVAR,29.73,12.54,0,0,Yg
TR_VARONES,PQ load Yg with load-flow (LF),1,12.38666666667,MW,2.26666666666666667,MVAR,37.16000000001,6.8,0,0,Yg
ATR_METR_220_1,PQ load Yg with load-flow (LF),1,16.0633,MW,-1.303333333,MVAR,48.18990000000001,-3.909999999,0,0,Yg
TR_NVA_VALD,PQ load Yg with load-flow (LF),1,9.5333,MW,2.33333333333,MVAR,28.5999,6.999999999990001,0,0,Yg
Load2,PQ load Yg with load-flow (LF),1,10.926666666,MW,1.9466666666,MVAR,32.779999997999994,5.8399999998,0,0,Yg
TR_LPEU_N1,PQ load Yg with load-flow (LF),1,10.81,MW,4.666666667,MVAR,32.43,14.000000001,0,0,Yg
TR_TEMUCO66,PQ load Yg with load-flow (LF),1,42.67667,MW,9.52,MVAR,128.03001,28.56,0,0,Yg
CLAJA_220,PQ load Yg with load-flow (LF),1,3.536666666,MW,-2.68666666666666667,MVAR,10.609999998,-8.059999999999998,0,0,Yg
INFOR_220,PQ load Yg with load-flow (LF),1,5.84,MW,2.33666666,MVAR,17.52,7.00999998,0,0,Yg
TR_STAFE_220,PQ load Yg with load-flow (LF),1,14.373,MW,3.81,MVAR,43.119,11.43,0,0,Yg
TR_CPACIFICO,PQ load Yg with load-flow (LF),1,6.01666666667,MW,3.18666666667,MVAR,18.05000000001,9.56000000001,0,0,Yg
