Name_PV,LibType,N_PV_arrays,N_PV_inServ,S_spv,Unit,P_ctrlMode,Active_ref,Unit,Q_ctrlMode,Reactive_ref,Unit,s_nom,p_mw,q_mw,p_pu,q_pu
PFV_Maria_Elena,PV park,41,41,1.667,MVA,2,0.27,pu,1,-0.1469,pu,68.34700000000001,18.45369000,-10.04017430,0.27000000,-0.14690000
PFV_STA_ISABEL,PV park,110,110,1.667,MVA,2,0.27,pu,1,0.160363636,pu,183.37,49.50990000,29.40588067,0.27000000,0.16036364
PFV_Coya,PV park,116,116,1.667,MVA,2,0.27,pu,1,-0.0561,pu,193.372,52.21044000,-10.84816920,0.27000000,-0.05610000
PFV_Elena_Kimal,PV park,321,321,1.667,MVA,2,0.75,pu,1,-0.06,pu,535.107,401.33025000,-32.10642000,0.75000000,-0.06000000
PFV_Las_Salinas,PV park,233,233,1.667,MVA,2,0.27,pu,1,-0.0386,pu,388.411,104.87097000,-14.99266460,0.27000000,-0.03860000
PFV_Pedro_de_Valdivia,PV park,66,66,1.667,MVA,2,0.27,pu,1,-0.2,pu,110.022,29.70594000,-22.00440000,0.27000000,-0.20000000
PFV_Lalackama_Parinas,PV park,35,35,1.667,MVA,2,0.27,pu,1,0,pu,58.345,15.75315000,0.00000000,0.27000000,0.00000000
PFV_Granja_Solar,PV park,69,69,1.667,MVA,2,0.27,pu,1,-0.0089,pu,115.023,31.05621000,-1.02370470,0.27000000,-0.00890000
PFV_Huatacondo,PV park,59,59,1.667,MVA,2,0.27,pu,1,-0.2899,pu,98.35300000000001,26.55531000,-28.51253470,0.27000000,-0.28990000
PFV_Atacama_Solar_II,PV park,105,105,1.667,MVA,2,0.27,pu,1,-0.2051,pu,175.035,47.25945000,-35.89967850,0.27000000,-0.20510000
PFV_Nuevo_Quillahua,PV park,65,65,1.667,MVA,2,0.27,pu,1,-0.0194,pu,108.355,29.25585000,-2.10208700,0.27000000,-0.01940000
PFV_Willka2,PV park,63,63,1.667,MVA,2,0.505432745,pu,1,-0.2071,pu,105.021,53.08105231,-21.74984910,0.50543274,-0.20710000
