Name_LoadLF,LibType,Status,P_loadLF,Unit,Q_loadLF,Unit,p_mw,q_mw,Np,Nq,connectionType
TR_LPEU_N1,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
PICOLTUE_220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_HUALP_N1,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
CLAJA_220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
INFOR_220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TCHOLG_220,PQ load Yg with load-flow (LF),0,4,MW,3,MVAR,12,9,0,0,Yg
TR_STAFE_220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_COLBUN_N1,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
MINERO_220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_TEMUCO66,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
MAULE_220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_CHILOE_110,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_PARGUA_220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
ATR_VALDIV_220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
ATR_LASTARR_220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_HUALQUI_220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_ITAHUE_N1,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
CONCEPCION_220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
CHARRUA_154,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_MELIPULLI110,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TINGUIRI_220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_CPACIFICO,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_LGUINDOS,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
l_CUNCO110,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_MARIQUINA,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
ATR_PICHIRRO,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
PILAUCO_220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
L_MAMPIL220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
L_RUCUE220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
FCR_154,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
L_CMPC110,PQ load Yg with load-flow (LF),0,4,MW,3,MVAR,12,9,0,0,Yg
L_STAMARIA220,PQ load Yg with load-flow (LF),0,4,MW,3,MVAR,12,9,0,0,Yg
TR_DUQUE_N1,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
L_LLANQUI,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
L_PTOMONTT,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
MELI_220_66,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_TUNICHE_N1,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_MATAQ_220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_DICHATO,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_NVACAUQUE,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_NIRIVI,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_MAPA,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_VARONES,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
ATR_METR_220_1,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_NVA_VALD,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
Load2,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
